Project 007 CSV,By: Andy Snitgen,For: Karen Jin,Class: comp574,"Date: Oct. 31, 2021"
Title,Year,Actor,US Box Office,International Revenue,Adjusted Revenue,Average Rating,IMDb Rating,Metacritic
Indiana Jones and the Raiders of the Lost Ark,1981,Harrison Ford,"$248,159,971","$389,925,971","$1,164,201,414",84.5%,8.4 / 10,85%
Indiana Jones and the Temple of Doom,1984,Harrison Ford,"$179,870,271","$333,107,271","$870,118,512",66.0%,7.5 / 10,57%
Indiana Jones and the Last Crusade,1989,Harrison Ford,"$197,171,806","$474,171,806","$1,037,824,421",73.5%,8.2 / 10,65%
Indiana Jones and the Kingdom of the Crystal Skull,2008,Harrison Ford,"$317,101,119","$790,653,942","$996,671,992",63.0%,6.1 / 10,65%
