C:\Users\ANSni\OneDrive\Desktop\Andy's Homework\Data Structures\movie_project\data/PiratesCaribbean_data.csv,By: Andy Snitgen & Evan Ryan,Movie Data Analysis Project,2021-12-01
Title,Year,Actor,US Box Office,International Revenue,Adjusted Revenue,Average Rating,IMDb Rating,Metacritic
Pirates of the Caribbean: Curse of the Black Pearl,2003,Johnny Depp,"$305,413,918","$654,264,015","$965,039,422",71.5%,8.0 / 10,63%
Pirates of the Caribbean: Dead Man's Chest,2006,Johnny Depp,"$423,315,812","$1,066,179,747","$1,435,323,330",63.0%,7.3 / 10,53%
Pirates of the Caribbean: At World's End,2007,Johnny Depp,"$309,420,425","$960,996,492","$1,258,149,773",60.5%,7.1 / 10,50%
Pirates of the Caribbean: On Stranger Tides,2011,Johnny Depp,"$241,071,802","$1,045,713,802","$1,261,924,081",55.5%,6.6 / 10,45%
Pirates of the Caribbean: Dead Men Tell No Tales,2017,Johnny Depp,"$172,558,876","$794,881,442","$880,174,718",52.0%,6.5 / 10,39%
